start	end	eng	cmn	jpn
1986151	1990010	 Combatant three.  Violation. 	 「无法辩识」  参战者3号，违规 	 戦闘員３  違反行為 
1995243	1997017	 Initiate final round. 	 决赛开始 	 次ラウンド　開始 
2001885	2005025	 Combatant 3, versus Rinzler. 	 参战者3号对抗林斯勒 	 戦闘員３　対　リンザラー 
2012260	2014034	 You've gotta be kidding me. 	 开什么玩笑！ 	 いい加減にしてくれよ 
2033820	2036056	 Aw, come on, is that even legal? 	 拜托！这样没有不公平吗？ 	 おい！　そんなのありかよ？ 
2048253	2049009	 Whoa! 		
2057888	2058018	 Yeah! 		
2069308	2072032	 Why do I feel like I just got dumped on. 	 我怎么觉得矮人一截 	 なぜオレだけ目の敵にされる？ 
2078326	2081041	 Come on, huh?  Come on. 	 来呀！过来呀！ 	 こいよ！　　来な！ 
2134549	2137037	 User. 	 使用者 	 ユーザー 
2147669	2150050	 Identify yourself, program. 	 表明你的身份，程式 	 ナンバー漏れプログラムだ 
2151532	2154054	 I'm not a program. 	 我不是程式 	 オレはプログラムじゃない 
2159741	2161001	 Cloaked man: Identify.... 	 表明身份 	 何者だ 
2163086	2165005	 My name is Sam Flynn. 	 我叫山姆费林 	 オレはサム・フリンだ 
2169751	2172012	 Bring him to me. 	 带他过来见我 	 連れて来い 
2174482	2175015	 Let me go. 	 放我走 	 放せよ 
2179427	2181021	 Freaks. 	 怪胎 	 気味悪いな 
2182917	2184024	 Where am I? 	 这是哪里？ 	 ここはどこだ？ 
2187045	2189029	 Am I on the grid? 	 我在网络上吗？ 	 グリッドマンか？ 
2190772	2192032	 Who are you? 	 你是谁？ 	 お前は？ 
2197862	2199039	 Dad. 	 老爸 	 父さん 
2199697	2204044	 Sam.  Look at you, man. 	 山姆，看看你，你长好大了 	 サム  驚いたな　　大きくなって 
2206454	2210050	 How did you get in here?  I got your message. 	 你怎么进来的？  我收到你的讯息 	 どうしてここへ？ ポケベルだよ 
2210681	2213053	 Oh.  So it's just you? 	 只有你来吗？ 	 ほぉ １人で来たのか？ 
2214306	2215055	 Yeah. 	 对 	 あぁ 
2215341	2222002	 Just you.  Wow, isn't this something. 	 只有你  还不错吧？ 	 １人で  たいしたもんだ 
2222520	2223003	 Sam: You look the same. 	 你的样子都没变 	 全然　変わってない 
2223756	2226006	 Oh, a lot has happened, Sam. More than you can imagine. 	 发生了很多事  你想橡不到的事，光碟给我 	 いろいろあったんだ思いも寄らぬことが ディスクを 
2226400	2227007	 This. 		
2232105	2233013	 Kevin: Let's take a look. 	 让我看看 	 お前はどうかな 
2249372	2251031	 Got it. 	 了解了 	 そうか 
2251857	2254034	 Hmm, I expected more. 	 我以为会更精彩 	 たいしたこと無いだろ？ 
2257278	2262042	 So, you were trapped in here.  That's right. 	 所以你被困在这  没错 	 ここに閉じ込められても？  そうだ 
2264846	2268048	 You're in charge.  Right again. Two for two. 	 而你也负责管理这里  两题都正确 	 でも　ここを仕切ってる ああ　そうだ　するどいな 
2268764	2271051	 So, can we just go home now. 	 那我们可以回家了吗？ 	 だったら　家に帰ろうよ 
2272430	2274054	 Not in the cards. 	 没有这条选项 	 それは不可能だ 
2275760	2277057	 Not for you. 	 对你来说 	 お前はな 
2281067	2283003	 That's a hell of a way to treat your son. 	 你怎么这样对待自己儿子 	 息子に対して冷たいね 
2285366	2287007	 Oh, that. 	 喔！儿子 	 その件だが 
2291881	2294014	 I'm not your father, Sam. 	 我不是你的老爸，山姆 	 私はお前の父親じゃない 
2296410	2300020	 But I'm very, very happy to see you. 	 但我非常非常高与见到你 	 でも会えて嬉しいよ 
2303051	2304024	 CLU. 	 库鲁？ 	
2307815	2316036	 Where is he?  Sam: What'd you do to him?  Same thing I'm going to do to you.  User. 	 他在哪？你对他做了什么？  做我将对你做的事，使用者 	 本当の父さんは？  何をしたんだ？  同じ目にあわせてやる 
2337691	2340000	 Greetings programs. 	 程式们，大家好 	 プログラム諸君 
2343216	2347007	 Oh what a vocation we have here before us. 	 这真是个特别的时刻 	 父上は何をしても 偉大になれた 
2347323	2351011	 Because, your rumors are true. 	 你们听说的传言是正确的 	 なぜなら噂は本当だった　確かに 
2351432	2358018	 We do indeed have in our midst,  a user. 	 我们真的有访客  一位使用者！ 	 我々の中にユーザーが存在した  あいつだ！ 
2360525	2363023	 Aaa uuuser. 	 使用者 	 あいつはユーザー 
2365697	2368028	 Jarvis: So, what to do? 	 所以，该怎么办呢？ 	 さあ　どうする？ 
2368844	2373033	 What does this User deserve. 	 要如何款待这位使用者呢？ 	 こいつにはどんなゲームが相応しい？ 
2373168	2378038	 Might I suggest perhaps,  the challenge of the grid. 	 让我建议，来一场网络飙战吧？ 	 私からの提案だが ライトサイクル遊び 
2382881	2388048	 And who best to battle this senior opponent? 	 那么该由谁来跟他对尬呢？ 	 対戦者として 相応しいのは誰だ？ 
2389069	2393053	 Perhaps one who has some experience in these matters. 	 也许找一个有经验的人 	 恐らくバトル経験者の 豊富な者だ 
2396724	2398058	 Oh yes, indeed programs. 	 没错，程式们 	 どうだプログラム達よ 
2399454	2404004	 Your liberator, your luminary. 	 大家的救星  大家的明灯 	 諸君の怒りを導く 
2405003	2407007	 Your leader and beacon. 	 大家共同的伟大首领 	 諸君のリーダー 
2408489	2415015	 The one who vanquished the tyranny of the user.  Those many cycles before. 	 许多周期之前  成功推翻使用者暴政的伟人 	 何人にも打ち勝った ユーザー対  経験豊かな対戦者 
2416623	2419019	 I've been waiting a long time for this. 	 这一刻我期待已久 	 こいつはオレの方が得意だぜ 
2419292	2422022	 CCCCLLLLLLUUUUU. 	 库鲁！ 	
2422879	2426026	 You wanna play?  I'll play. 	 你要玩？我奉陪 	 やるのか？　戦ってやる 
2432639	2434034	 Excellent word, sir. 	 讲稿写的精采，主人 	 素晴らしいお言葉でした 
2434557	2437037	 Were you pleased with my execution? 	 还满意我的表现吗？ 	 あんな言い方で宜しかったですか？ 
2437310	2440040	 The crowd seemed quite energized. 	 群众似乎十分来劲 	 群集は盛り上がったようです 
2441793	2444044	 It wasn't meant for them. 	 不是为他们准备 	 彼らの為の言葉ではない 
2456713	2460000	 What's this?  What do I do with this? 	 这是什么？拿来要做什么？ 	 何だこれは？  どうするんだ？ 
2460750	2463003	 I'll give you a hint. 	 我给你个提示 	 ヒントをやろう 
2463517	2465005	 Not that. 	 不是用来打人的 	 武器じゃない 
2474806	2480020	 Computer: Grid is live.  Computer: Initiate light-cycle battle. 	 网络飙战开始，启动光轮摩托 	 グリッド中継  ライトサイクルバトル 
2494909	2496036	 You got no chance, User. 	 你没指望了，使用者 	 勝ち目は無いぞ　ユーザー 
2496494	2499039	 Their bots are faster than ours. Use the level's. 	 他们车速比我们快，利用段层 	 奴らは手強いぞ　甘く見るな 
2504807	2507047	 Now this I can do. 	 这我没问题 	 これなら得意だ 
2539227	2541021	 Here we go. 	 来吧 	 行くぜ 
2596320	2597017	 Whoa. 		
2607045	2609029	 Hoh, oh! 	 快点！快点！ 	 こっちだぜ！ 
2610126	2611031	 AAAAAH! 		
2624319	2629049	 Hey.  We gotta work together.  It's the only way. 	 我们得合作，这是唯一的路 	 おい！　協力しようぜ  それしかない 
2637760	2640000	 That's it, you got me. 	 就是这样，你逮到我了 	 意味が分からない 
2648260	2649009	 Boo! 		 バカ！ 
2652300	2656016	 Whoo, hoo hoo, keep out.  Now that's what I'm talking about. 	 就是这样做 	 やったぜ  わかった？　こういうこと 
2656443	2659019	 Sam: Another customer.  Let's go. 	 客人上门了，来吧 	 またカモが来た 行くぞ 
2676516	2678038	 Hang on buddy, I'm coming. 	 兄弟等等，我来了 	 待ってろ相棒　いま行くぞ 
2687358	2688048	 Come on. 		 頼む 
2701695	2704004	 This is it.  Come on. 	 就是这样，来吧 	 今度はこっちだ　来い 
2729578	2730030	 NO! 		
2733856	2736036	 Illegal combatant on the grid. 	 网络上出现违规参战者 	 グリッドに不法戦闘員 
2736207	2737037	 Get in. 	 上车！ 	 乗って 
2737408	2739039	 Illegal combatant on the grid. 		 グリッドに不法戦闘員 
2739153	2740040	 GET IN! 	 快点！ 	 早く！ 
2746327	2749049	 System failure, release Rinzler. 	 系统故障，林斯勒出动 	 システムエラー　　リンザラー解放 
2749747	2751051	 Game on old friend. 	 游戏开始了，老朋友 	 ゲーム開始だ　友よ 
2761266	2764004	 Who are you?  Hang on. 	 你是谁？  抓紧了 	 お前は誰だ？ 捕まって 
2792164	2794034	 Oh man, you can't make that. 	 停车！你钻不出去的 	 やめろ！　無茶だ 
2803641	2806046	 Driver: Made it. 	 出来了 	 出来ました 
2814390	2815055	 I'm, Quorra. 	 我是柯拉 	
2815086	2816056			 わたし　クオラ 
2821318	2822002	 They're turning around. 	 他们回头了 	 追いかけて来ない 
2822714	2824004	 Not by choice. 	 并非自愿 	 来れないの 
2824363	2831011	 Their vehicles aren't designed to go off grid.  They'll mal-function on this terrian.  What about us?  Hah, obviously not. 	 他们的车无法跨越网络，会故障  那我们呢？  当然不会 	 あいつらの乗り物は グリッドの外に出たら機能しないの  これは違うのか？ 見ての通りよ 
2838627	2842022	 Where are you taking me?  Patience, Sam Flynn. 	 你要带我去哪？  别急，山姆费林 	 どこへ連れて行くんだ？ あせらないで　サム・フリン 
2842491	2845025	 All your questions will be answered soon. 	 你的一切疑惑很快会得到解答 	 もう直ぐ何もかも分かるから 
2853876	2855035	 Whoa, whoa, whoa, whoa! 	 哇！ 	 おい　おい　おい！ 
2918458	2920040	 Wait here. 	 在这里等 	 待ってて 
2923843	2925045	 Quorra. 		 クオラ 
2926386	2928048	 I dreamed of Tron. 	 我梦到创 	 トロンの夢を見たよ 
2928362	2931051	 First time in years. 	 几年来的第一次 	 何年ぶりだ 
2932221	2933053	 It's a sign. 	 这是一个征兆 	 創造主 
2935015	2938058	 A sign my dear friend, is of a weary soul. 	 是一个疲惫之心的征兆 	 だとしたらもう 疲れたという意味かも知れないが 
2939338	2945005	 I'm afraid something's happened.  Something has happened.  We have a guest. 	 恐怕是发生了什么事  的确有事发生，我们有访客 	 何かあったのか？ あったの  お客様よ 
2946944	2949009	 There are no guests here. 	 我们没有访客，小柯 	 ここに客など来ないよ 
2972955	2975035	 Sam. 	 山姆 	 サム 
2976265	2978038	 Long time. 	 好久不见 	 久し振り 
2980053	2983043	 You have no idea. 	 你无法想橡 	 何年ぶりだ 
2988920	2991051	 You're, you're here. 	 你来了 	 お前　来たのか？ 
2995197	3000000	 You're here.  I'm here. 	 你真的来了  我来了 	 来たのか  来たよ 
3007505	3008008	 You're big. 	 你长好大了 	
3008012	3009009			 大きくなって 
3010090	3012012	 You're. 	 是的，而你… 	 お前は 
3012942	3013013	 Old. 		
3013018	3014014		 老了 	 父さんは　老けたか？ 
3018349	3020020	 How did you get here? 	 你怎么进来的？ 	 どうやって入った？ 
3020893	3023023	 Alan came over. 	 艾伦来家里 	 アランが来たんだ 
3023595	3025025	 Really. 	 布雷迪？ 	 ブラッドリーが？ 
3025773	3028028	 He got your page. 	 是的，他收到你的Ca11机讯息 	 ポケベルが鳴ったんで 
3028609	3032032	 I found your office under the arcade. 	 我发现你的秘密办公室 	 ゲーセンの下のオフィスを見つけた 
3033155	3035035	 Page? 	 Ca11机？ 	 ポケベル？ 
3035699	3039039	 Oh, man, of course. 	 Ca11机？原来如此 	 ポケベルか... 
3043904	3046046	 CLU had him on the Light-Cycle grid. 	 库鲁逼他参加光轮摩托飙战 	 ライトサイクルバトルで 
3046200	3048048	 I intervened. 	 我插手救出他 	 クルーに殺されかけてた 
3049089	3050050	 Oh. 		 おぉ 
3052466	3056056	 Been there soon,  CLU taught them. 	 晚餐时间到了，到时再聊 	 もう直ぐ夕食だ  食べるな？ 
3070575	3074014	 He never thought he'd see you again. 	 他没想到能再见到你 	 二度と会えないと思ってたの 
3075962	3078018	 Yeah. 	 我懂 	 オレも 
3084737	3089029	 Vintage.  Flynn built it many cycles ago for the games. 	 老古董了，费林很久以前打造的 	 新着モデルよ！  フリンが何サイクルも前に ゲーム用に作ったの 
3090129	3096036	 It doesn't get out as much as it used to, but.  Still the fastest thing on the grid. 	 虽然不常使用，不过…  依旧是网络上最快的 	 最新モデルより早いわ  勿論　グリッドの中でも 
3119366	3121001	 Do you know it? 	 你知道怎么玩吗？ 	 これ知ってる？ 
3121702	3127007	 His patience usually beats out my more,  aggressive strategy. 	 他的耐心总是能胜过我的…  躁进战术 	 フリンには勝てないの 攻撃的な戦法でも 
3131211	3135015	 Flynn shared them with me.  I've read them all. 	 费林跟我分享这些，我都读过了 	 フリンが貸してくれて  全部　読んじゃった 
3135701	3146026	 Wow, you like reading.  Tolstoy, Dostoyevsky, Lee Chang, Journey without a goal. 	 轻松小品，托尔斯泰  杜斯妥也夫斯基，易经  没有目的的旅程 	 あぁ　よくやるよ  トルストイ  ドストエフスキー  たくさんある 
3146727	3151031	 Must have a killer ending.  Flynn is teaching me about the art of the selfless. 	 结局一定很劲爆  费林正在教我无私的艺术 	 気が狂いそうだ  フリンは人の為に作る事を 教えてくれた 
3151398	3156036	 About, removing oneself from the equation. 	 如何从等式中将自己移除 	 自分を犠牲にすることも 
3156226	3161041	 But, between you and me.  Jules Verne is my favorite. 	 告诉你，我最喜欢朱勒凡尔纳 	 でも　ここだけの話よ 一番好きなのはジュリース・バーン 
3162159	3168048	 Do you know, Jules Verne?  Sure.  What's he like? 	 你认识朱勒凡尔纳吗？  当然  他是什么样的人？ 	 ジュリース・バーン知ってる？ あぁ  彼どんな人？ 
3177716	3180000	 Your move Flynn, come on. 	 该你了，费林 	 お前の番だ　フリン 
3181053	3183003	 Come on. 	 放马过来 	 さぁ来い 
3205119	3210030	 How old are you now, Sam?  - Uh, - You should be 27. 	 你几岁了，山姆？  你应该27了 	 サムは何歳なの？ あぁ　おそらく２７だろ 
3210194	3212032	 I just turned 27. 	 对，27 	 そう　２７だ 
3212417	3216036	 Do you attend a college?  Cal-Tech. 	 你有上大学吗？  加州理工学院 	 大学は？ カリフォルニア工科大 
3217464	3221041	 Cal-Tech.  My Alma-Mater. 	 加州理工？我的母校 	 そうか　　私の母校だ 
3221427	3224044	 Sam: Yeah.  That's why I dropped out. 	 对啊，直到我退学 	 そう  でも　中退したよ 
3233814	3239059	 Work?  -A job? ENCOM or you, uh... -No. 	 上班了吗？有工作吗？  英克尔？你在…  没有 	 仕事は？  ＥＮＣＯＭで働いてるのか？ いや 
3240226	3243003	 I check in once a year. 	 我一年去一次 	 年に一度　顔を出すけど 
3244465	3246006	 -Life, girlfriend? -A dog. 	 老婆？女朋友？  狗 	 ガールフレンドは？ 犬だけ 
3247327	3253013	 I have one.  A rescue.  Well, dogs uh, dogs are cool. 	 阿福，捡回来的  狗很好 	 捨てられてた  助けてやったんだ  そうか　犬はいい 
3262342	3266026	 I'm sure you must have a few questions of your own, Sam. 	 我想你一定也有问题想问 	 お前もいろいろ聞きたい事が あるだろ？ 
3268974	3271031	 Actually, just one. 	 其实，只有一个 	 ひとつだけ 
3274070	3276036	 Why I never came home? 	 为什么我再也没回家 	 なぜ帰らなかったか？ 
3279855	3286046	 Those nights when I went to the office  I'm sure you figured it out by now,  was to come here. 	 那些晚上我去办公室工作  我想你一定猜到了，我来了这里 	 あの頃はオフィスへ行くと言って  もう分かってると思うが ここへ来てたんだ 
3287367	3292052	 Moving forward into digital space.  Maybe, still. 	 以人类形体进入数位世界  深奥艰涩的东西 	 人間のデジタル化は  画期的だった 
3294374	3296056	 But, I also had you. 	 但我还要照顾你，还有英克尔 	 でも　お前も居たし 
3296752	3304004	 I had ENCOM, I couldn't be in your world all the time.  I needed partners.  To help out. 	 我没有办法一直待在这  我需要帮手  创跟库鲁 	 会社にはまだ言えなかった  パートナーが必要だった  トロン ＆ クルー 
3304171	3307007	 -Tron and CLU. -That's right. 	 没错 	 そうだ 
3309364	3315015	 Tron was created by Alan for the old system.  I brought him here to protect this one. 	 创是艾伦在旧系统创造出来的  我把他带进来保护这个系统 	 トロンはアランが作ったから  ここを守る為に私が連れてきた 
3315270	3317017	 CLU was my creation. 	 库鲁是我的创作 	 クルーは私が作った 
3317189	3321021	 A program designed to create a perfect world. 	 是用来建造完美世界的程式 	 完璧な世界を作る為の プログラムだ 
3321443	3330030	 We were jammin' man, building utopia.  Hours in here were just minutes back home.  Just when I thought it couldn't get anymore profound. 	 我们当时如火如荼，建构乌托邦  这里几小时人类世界只有几分钟  就在我觉得无法再突破时 	 私達は夢中でユートピアを作ったよ  こっちでの時間は向こうで数分だ  知るべき事は知り尽くした と思ったとき 
3330869	3333033	 Something unexpected happened. 	 意想不到的事发生了 	 予期せぬことが起きた 
3333622	3335035	 The Miracle. 	 那个奇迹 	 奇跡さ 
3335520	3339039	 The Miracle.  You remember. 	 那个奇迹，你还记得 	 そう　奇跡だ  覚えてたか... 
3340583	3344044	 Iso's  Isomorphic Algrarithm's. 	 ISO一同形演算法则 	 入ったよ アイソモーピック アルゴリズム 
3344424	3348048	 A whole new life form.  And you created them? 	 一个全新的生命体  你创造出来的吗？ 	 全く新しい生命体だ それを作ったの 
3349265	3350050	 (Laughs) 		
3353016	3361001	 No, no.  They manifested.  Like a flame.  They weren't really, really from anywhere. 	 不，它们无中生有  就橡火焰一般，没有来源 	 いや　違う  現れたんだよ 突然に  何処からともなく 
3361179	3364004	 The conditions were right, and they came into being. 	 只要条件适合，它们就会产生 	 条件が揃えば現れる 
3365028	3371011	 For centuries we dreamed of gods, spirits, aliens.  An intelligence beyond our own. 	 几世纪以来，人类幻想着  上帝，神灵，外星人  比我们更先进的智慧 	 何世紀もの間　我々は神や 聖霊　宇宙人を  越える事を夢見て来た 
3371201	3372012	 You seeing this? 	 你看见了吗？ 	 分かるだろ？ 
3372608	3377017	 I found them, in here.  Like flowers in the waste land. 	 我在这里发现它们  如同荒原中的花朵 	 それをここで見つけたんだ 
3380351	3382022	 Profoundly naive. 	 天真无瑕 	 究極の状態で 
3383964	3387027	 Unimaginably wild. 	 难以想橡的高度智慧 	 想像も付かないくらい賢く 
3388881	3391031	 They were spectacular. 	 他们真是奇特 	 彼らは素晴らしかった 
3391362	3394034	 Everything I'd hope to find in the system. 	 我原希望在这个系统中找到的 	 システムから統制や秩序の 
3394193	3398038	 Control, order, perfection. None of it meant a thing. 	 控制，秩序，完美…  已经完全不重要 	 完璧さを求めても無駄だったんだ 
3398071	3399039	 But living in a hall of mirrors. 	 我以前一直住在镜屋中 	 私の求めたデジタルの世界は 
3400354	3403043	 The Iso's.  Shattered. 	 直到ISO震碎了它 	 あいつの出現によって　否定された 
3403262	3406046	 The possibilities of their root code, their digital DNA. 	 他们的基础序号排列组合  它们的数位DNA 	 彼らのデジタルＤＮＡの 組み換えは 
3406737	3419059	 Disease?  History!  Science, philosophy, every idea,  man has ever had about the universe up for grabs.  Bio digital jazz, man. 	 疾病？历史，科学，哲学…  所有人类对宇宙产生的各种想法  都被打破重新来过  数位生化交织的即与乐章 	 病気なんだ かつ　雄大なんだ！  科学と哲学  人のこれまでの考えが 覆されたんだ  バイオデジタルに 
3419666	3423003	 The Iso's, they were going to be my gift to the world. 	 ISO就是我给全世界的礼物 	 私は入って世界の 戸を開けようとした 
3423128	3425005	 So, what happened? 	 所以，后来呢？ 	 でも何があった？ 
3425714	3429009	 CLU.  CLU happened. 	 库鲁，库鲁产生作用 	 クルー　クルーが動いた 
3432679	3435015		 你要回入口的交通工具准备好了 	
3435515	3437017		 我不喜欢你把时间抓得太紧，费林 	
3437039	3444024	 Kevin: Will you stop worrying about everything, Tron.  Kevin: Everything is fine, everythings under control.  Flynn! 	 别瞎操心了，好吗？创  我都设定好了，一切都在掌控之中  费林 	 何も心配などするな  すべて制御できてる  フリン！ 
3448402	3451031	 Am I still to create the perfect system? 	 我还要继续创造完美的系统吗？ 	 完璧な世界を作るんだよな？ 
3452749	3454034	 Yeah. 	 对 	 そうだ 
3457231	3459039	 Kevin: It was a coup. 	 那是一场叛变 	 クーデターが起きたんだ 
3461333	3462042	 Go! 	 快走 	 逃げろ！ 
3476890	3478058	 You've been corrupted. 	 你变成问题所在 	 お前は墜落した 
3488306	3491011	 Wait....wait! 	 为什么？ 	 待て　待ってくれ！ 
3493686	3495015	 Flynn, go! 	 费林，快逃 	 フリン　逃げろ！ 
3500215	3501021	 Yahhh! 		
3502541	3505025	 Tron, he fought for me. 	 创为我而战 	 トロンは私の為に戦った 
3506428	3509029	 I never saw him again. 	 从此我再也没有见到他 	 彼を見たのはそれが最後 
3510016	3511031	 So why don't you fight? 	 为什么你不挺身而战？ 	 父さんは戦わなかった？ 
3512349	3516036	 He did.  He fed on my resistance. 	 他有  库鲁能吸收我的反抗 	 戦ったの  私が抵抗すれば 
3516087	3519039	 The more I fought, the more powerful it became. 	 我抵抗得越强，他的力量就越大 	 抵抗するほど クルーは強くなった 
3519236	3521041	 It was impressed with him . 	 令人震撼 	 目を見張るほどに 
3522185	3527047	 And my miracle? CLU saw the ISO's as an imperfection. 	 还有我的奇迹？  库鲁将所有ISO视为瑕疵 	 そして彼は私の奇跡 アイソを完璧でないと言って 
3527607	3529049	 So he destroyed them. 	 因此他彻底消灭他们 	 滅ぼした 
3532779	3534054	 The purge. 	 「净化」 	 悲惨にも 
3535031	3539059	 He killed them all?  It was genocide. 	 他把他们都杀了吗？  集体大屠杀 	 １人残らず？ 大虐殺だ 
3539910	3543003	 I tried to get back. But I couldn't get to the portal. 	 我试着回去，但我到不了入口 	 私は戻ろうとしたが 電磁ポータルに辿り着けなかった 
3543915	3548008	 It uses massive power. And it can't stay open forever. 	 它消耗大量能量，又不会一直开着 	 ポータルは一定時間経つと 閉じてしまう 
3548882	3554014	 And like a safe. It can only be opened from the outside. 	 就橡保险箱，它只能由外打开 	 そして外からのみ開けられる 
3556208	3559019	 It closed on me, Sam. 	 它封住我了 	 こちらからは開けられないんだ 
3559514	3562022	 That's why I never came home. 	 因此我再也回不去 	 だから帰れなかったんだ 
3569107	3574034	 So the portal. It activated when I came in.  So it's open, now. 	 所以当我进来时，入口打开了  现在是开的 	 そのポータルはオレが入って来た時に  一度押したから いま開いてるんだろ？ 
3574154	3575035	 Not for long. 	 不会开太久 	 だが小さすぎる 
3575238	3581041	 Only one millicycle, about eight hours.  So, we go now.  Go home. Make a run for it. 	 只一个微电路周期，约8小时  那我们现在走，回家，逃出这里 	 つまり８時間で閉じてしまう  じゃあ　すぐ行こう　家に帰ろうよ 
3581652	3583043	 -Get you out of here. -Kevin: Don't rush. 	 我们会带你离开这儿  不能急 	 今なら間に合う そう焦るなって 
3583379	3586046	 What do you mean, don't rush. The portal's going to close. 	 入口就快关了 	 焦るなって ポータルが閉じてるだろ 
3587940	3589049	 What? What is it? 	 怎样？到底怎么了？ 	 何だよ？どうしたの？ 
3589669	3594054	 The moment Flynn is on the grid, CLU will stop at nothing to obtain his disc. 	 费林一踏上网络  库鲁会不择手段地取得他的光碟 	 フリンがグリッドに入った瞬間 クルーがディスクを奪おうとするわ 
3594131	3599059	 My disc is everything, Sam. It's the master key.  The golden ticket, the way out. 	 我的光碟就是一切，它是关键  出去唯一的路 	 私のディスクは  マスターキーとでも言うから 外へ出るチケットだ 
3600612	3614014	 But not just for me.  -What do you mean? -Our worlds are more connected than anyone knows.  CLU figures if I can be in.  He can be out?  With my disc, it's possible.  And then what? 	 不只适用于我  什么意思？  我们两个世界比想橡中更为紧密  库鲁觉得如果我进得来  他能出得去？  有了我的光碟，有可能  会发生什么事？ 	 しかも誰でも使える  ふたつの世界はつながってる 私がここには入れるなら  クルーも出られる  そう  私のディスクを使えば可能 もしそうなったら？ 
3615362	3620020	 Game over.  The guy doesn't dig imperfection. 	 玩完了，库鲁不能容许瑕疵 	 ゲームオーバー  クルーは完全なものしか許さず 
3622160	3624024	 What's more important than our world? 	 还有哪里比我们的世界更不完美？ 	 不完全な現実を破壊する 
3626206	3629029	 I can't let that happen.  I won't. 	 我不能让它发生，我不允许 	 それはさせられない　絶対に 
3629709	3633033	 So what'll we do?  Nothing? 	 我们现在能干嘛？什么都不做？ 	 だから隠れてるの？　何もせず？ 
3633320	3636036	 It's amazing how productive doing nothing can be. 	 有时什么也不做比你想橡的 更有成效 	 あえて何もしない方が いい時もある 
3636210	3640040	 CLU's planning something.  We've known that for a while. 	 库鲁正在密谋，我们已经知道 	 クルーは何かを計画してるようだ 
3640137	3648048	 Programs have been disappearing, there's unrest out there.  Even revolution. If we sit tight, he might be brought down from the inside. 	 许多程式无故失踪  网络上蠢蠢欲动，山雨欲来  如果我们按兵不动  库鲁可能会被内部推翻 	 私は気付いていた  プログラムが次々と消えていく  プログラムの間では革命の気配さえある クルーは倒されるかも知れない 
3648674	3657057	 The portal's closing. We can't just sit around. We have to move now.  Tell me.  What brought you here?  Through the grid. 	 如果入口即将关闭，不能枯坐  我们必须要立刻行动  告诉我，什么引你进入网络？ 	 でもポータルが閉じかけてる なら早く行かないと  ところで　お前はどうして グリッドに入ったんだ？ 
3657391	3659059	 Alan got your page. 	 你发给艾伦的Ca11机讯息 	 アランのポケベルだよ 
3659401	3667007	 I didn't send any page.  It was CLU. CLU sent that page.  That's why you're here. 	 我没有发任何讯息  是库鲁，他发的讯息  那就是你出现在此的原因 	 私は呼び出してない  クルーだ  クルーの仕業だ おびき出されたのだ 
3667080	3672012	 Kevin: This is all his design.  He wanted a new piece on the board to change the game. 	 这全是他的盘算  他需要新的棋子来扭转局势 	 すべては奴の企みだ 新しいこまを使って  ゲームを変える気だ 
3672608	3684024	 With you he got more than he ever dreamed.  This is precisely what he wants.  Us together, heading for the portal.  It's his game now.  The only way to win is not to play. 	 有你在此，他有梦寐以求的优势  我们一起前往入口，正是他要的  现在换他做庄了  唯一的胜算就是不要下场 	 それは奴の永遠の夢だった  まさに奴はこれを望んでた　我々２人が ポータルに向かえば あいつの思う壺だ  奴のゲームなんだ 勝つ為には戦うな 
3686158	3688028	 Now that's a hell of a way to win. 	 这样过日子还真积极 	 そんな生き方でいいのか？ 
3688303	3690030	 But it is a way. 	 至少能生存下去 	 それもひとつの方法だ 
3694733	3697037	 We can go you home. 	 我们可以回家 	 ２人で帰ろうよ 
3697150	3700040	 Don't you want that? 	 难道你不想吗？ 	 帰りたくないの？ 
3700899	3706046	 Sometimes life has a way of moving you past things like wants and hopes. 	 生活会磨掉人想要的欲望与希望 	 もはや自分の為だけでは 決められない 
3706860	3712052	 That's right, Dad.  Keep telling yourself that. 	 太好了，老爸，继续催眠自己吧 	 そうかい 努力してみるべきでは？ 
3717713	3719059	 Goodnight, Sam. 	 晚安，山姆 	 お休み　サム 
3741795	3744024	 How can he be so afraid of his own creation? 	 他怎会如此惧怕自己的创作？ 	 何でクルーを怖がってるんだ？ 
3744491	3747027	 I mean, he built CLU. Why doesn't he just end him. 	 库鲁是他打造，不能由他终结吗？ 	 自分で作ったんだから 壊してもいいだろ？ 
3748745	3751031	 He could but it would require reintegration. 	 可以，但需要两人重新合体 	 それには再統合しなければ 
3751039	3752032	 Yeah, all right. 	 是，好吧 	 すればいい 
3752422	3756036	 Flynn would never survive the effect.  It would mean the end of them both. 	 费林撑不过这关  会玉石俱焚的 	 フリンの身体がもたない 一緒に死んでしまう 
3756994	3760040	 If he refuses to save himself, then I will. 	 如果他不想自救，那由我来 	 だったらオレが父さんを守る 
3764179	3766046	 How? 	 怎么做？ 	 どうやって？ 
3766270	3768048	 I'm going to the portal. 	 我会穿越入口出去 	 オレがポータルを通す 
3768055	3770050	 CLU wants Flynn's disc, not mine. 	 库鲁要的是他的光碟，不是我的 	 クルーは父さんのディスクが狙いだ 
